031333 6 x0 x1i x0i x1i x1i x1i 
033000 6 x0 x1i x1i x0 x0 x0 
033002 6 x0 x1i x1i x0 x0 x1 
033003 6 x0 x1i x1i x0 x0 x1i 
033020 6 x0 x1i x1i x0 x1 x0 
033021 6 x0 x1i x1i x0 x1 x0i 
033022 6 x0 x1i x1i x0 x1 x1 
033030 6 x0 x1i x1i x0 x1i x0 
033031 6 x0 x1i x1i x0 x1i x0i 
033033 6 x0 x1i x1i x0 x1i x1i 
033111 6 x0 x1i x1i x0i x0i x0i 
033112 6 x0 x1i x1i x0i x0i x1 
033113 6 x0 x1i x1i x0i x0i x1i 
033120 6 x0 x1i x1i x0i x1 x0 
033121 6 x0 x1i x1i x0i x1 x0i 
033122 6 x0 x1i x1i x0i x1 x1 
033130 6 x0 x1i x1i x0i x1i x0 
033131 6 x0 x1i x1i x0i x1i x0i 
033133 6 x0 x1i x1i x0i x1i x1i 
033300 6 x0 x1i x1i x1i x0 x0 
